case,power,base_moment,hires_moment,hires_minus_base_moment,base_jvp,hires_jvp,hires_minus_base_jvp,role
curved_emission,0,0.8479452579048736,0.8479468062955983,1.5483907246371942e-06,0.7680205733495526,0.7680225104712022,1.9371216495311927e-06,"fixed-table reference contrast, not atomic truth error"
curved_emission,1,0.4239726289524368,0.42397340314779913,7.741953623185971e-07,0.3840102866747763,0.3840112552356011,9.685608247655964e-07,"fixed-table reference contrast, not atomic truth error"
curved_emission,2,0.26486758044716874,0.26487225732177133,4.676874602593806e-06,0.24195997766192018,0.24196319929002505,3.2216281048713657e-06,"fixed-table reference contrast, not atomic truth error"
curved_emission,4,0.13874976613409923,0.13875536915910214,5.603025002909323e-06,0.12914713872860134,0.12915019170764963,3.052979048290272e-06,"fixed-table reference contrast, not atomic truth error"
curved_absorption,0,-0.8052537592180342,-0.8052589677676902,-5.208549656021688e-06,0.5721055851010166,0.572108618561892,3.033460875379035e-06,"fixed-table reference contrast, not atomic truth error"
curved_absorption,1,-0.4026268796090171,-0.4026294838838451,-2.604274828010844e-06,0.2860527925505083,0.286054309280946,1.5167304376895174e-06,"fixed-table reference contrast, not atomic truth error"
curved_absorption,2,-0.2565969541104595,-0.25659991716107,-2.9630506104827425e-06,0.17779417073701692,0.17779871034444783,4.539607430908976e-06,"fixed-table reference contrast, not atomic truth error"
curved_absorption,4,-0.1403029421035418,-0.1403041490286348,-1.206925093005795e-06,0.09206230633012165,0.09206777309268199,5.466762560343841e-06,"fixed-table reference contrast, not atomic truth error"
affine_balance,0,1.6338456338982605e-16,1.633853652252276e-16,8.018354015526815e-22,0.7109578567448729,0.7109599067000265,2.0499551536268257e-06,"fixed-table reference contrast, not atomic truth error"
affine_balance,1,8.169228169491303e-17,8.16926826126138e-17,4.0091770077634073e-22,0.35547892837243644,0.35547995335001326,1.0249775768134128e-06,"fixed-table reference contrast, not atomic truth error"
affine_balance,2,5.1425281942844556e-17,5.1426159557490675e-17,8.776146461190312e-22,0.22233440016969766,0.22233848237011977,4.082200422111937e-06,"fixed-table reference contrast, not atomic truth error"
affine_balance,4,2.7390640001758197e-17,2.7391478992650488e-17,8.389908922914061e-22,0.116763966246686,0.11676865478383082,4.6885371448174284e-06,"fixed-table reference contrast, not atomic truth error"
